Album,Original,Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
The Visitors,I Let the Music Speak,I Let the Music Speak,https://secondhandsongs.com/performance/77415/versions,Anne Sofie von Otter,https://secondhandsongs.com/artist/14331,Sweden,2006.0
The Visitors,I Let the Music Speak,I Let the Music Speak,https://secondhandsongs.com/performance/614213/versions,Benny Andersson,https://secondhandsongs.com/artist/3170,Sweden,2017.0
The Visitors,I Let the Music Speak,I Let the Music Speak,https://secondhandsongs.com/performance/1120823/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020.0
The Visitors,I Let the Music Speak,Is 't zo bedoeld,https://secondhandsongs.com/performance/141836/versions,Bonnie & José,https://secondhandsongs.com/artist/30245+47204,Netherlands,1985.0
The Visitors,I Let the Music Speak,Pareils et mêmes,https://secondhandsongs.com/performance/37801/versions,Maurice Barrier & Marie Framboise,https://secondhandsongs.com/artist/19035+19036,France,1983.0
The Visitors,When All Is Said and Done,When All Is Said and Done,https://secondhandsongs.com/performance/344036/versions,Hazell Dean,https://secondhandsongs.com/artist/32810,United Kingdom,1996.0
The Visitors,When All Is Said and Done,When All Is Said and Done,https://secondhandsongs.com/performance/20522/versions,Nils Landgren Funk Unit,https://secondhandsongs.com/artist/12351,Sweden,2004.0
The Visitors,When All Is Said and Done,When All Is Said and Done,https://secondhandsongs.com/performance/77416/versions,Anne Sofie von Otter,https://secondhandsongs.com/artist/14331,Sweden,2006.0
The Visitors,When All Is Said and Done,When All Is Said and Done,https://secondhandsongs.com/performance/335128/versions,The Idea of North,https://secondhandsongs.com/artist/66494,Australia,2007.0
The Visitors,When All Is Said and Done,When All Is Said and Done,https://secondhandsongs.com/performance/79159/versions,Pierce Brosnan & Meryl Streep,https://secondhandsongs.com/artist/32674+32976,Ireland,2008.0
The Visitors,When All Is Said and Done,When All Is Said and Done,https://secondhandsongs.com/performance/1169055/versions,Kristjana Stefáns & Svavar Knútur,https://secondhandsongs.com/artist/178930+181538,Iceland,2011.0
The Visitors,When All Is Said and Done,When All Is Said and Done,https://secondhandsongs.com/performance/948758/versions,Adam Lopez,https://secondhandsongs.com/artist/163271,Australia,2014.0
The Visitors,When All Is Said and Done,When All Is Said and Done,https://secondhandsongs.com/performance/1285726/versions,Fridha Lundell,https://secondhandsongs.com/artist/197146,Sweden,2015.0
The Visitors,When All Is Said and Done,When All Is Said and Done,https://secondhandsongs.com/performance/803058/versions,Inger Marie Gundersen,https://secondhandsongs.com/artist/31427,Norway,2018.0
The Visitors,When All Is Said and Done,One of Us - When All Is Said And Done,https://secondhandsongs.com/performance/255486/versions,Paul Mauriat,https://secondhandsongs.com/artist/21587,France,1982.0
The Visitors,When All Is Said and Done,When All Is Said and Done,https://secondhandsongs.com/performance/1120614/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020.0
The Visitors,Soldiers,Soldiers,https://secondhandsongs.com/performance/54509/versions,Barbara Dickson,https://secondhandsongs.com/artist/1958,United Kingdom,1985.0
The Visitors,Soldiers,Soldiers,https://secondhandsongs.com/performance/1120773/versions,8 Bit Arcade,https://secondhandsongs.com/artist/99220,Australia,2020.0
The Visitors,Soldiers,Zonder hem,https://secondhandsongs.com/performance/141838/versions,Bonnie & José,https://secondhandsongs.com/artist/30245+47204,Netherlands,1985.0
The Visitors,Head Over Heels,Head Over Heels,https://secondhandsongs.com/performance/378957/versions,Top of the Pops,https://secondhandsongs.com/artist/78114,United Kingdom,1982.0
